Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,Cmp_Pct,Yds,TD,TD_Pct,Int,Int_Pct,1D,Succ_Pct,Lng,Yards_Per_Att,Adj_Yards_Per_Att,Yards_Per_Cmp,Yards_Per_Game,Passer_Rating,Total_QBR,Sk,Yds_Lost_Sk,Sk_Pct,Net_Yards_Per_Att,Adj_Net_Yards_Per_Att,Game_Tying_Drives,Game_Winning_Drives,Awards,Player_ID,Wins,Losses,Ties
11,Matthew Stafford,35,LAR,QB,15,15,326,521,62.6,3965,24,4.6,11,2.1,187,47.5,80.0,7.6,7.58,12.2,264.3,92.5,64.2,30,205,5.44,6.82,6.8,1,2,PBAP MVP-8AP CPoY-4,StafMa00,9,6,0
12,Sam Howell,23,WAS,QB,17,17,388,612,63.4,3946,21,3.4,21,3.4,180,42.7,51.0,6.4,5.59,10.2,232.1,78.9,43.2,65,449,9.6,5.17,4.39,2,2,None,HoweSa00,4,13,0
13,Derek Carr,32,NOR,QB,17,17,375,548,68.4,3878,25,4.6,8,1.5,185,46.8,58.0,7.1,7.33,10.3,228.1,97.7,57.3,31,218,5.35,6.32,6.56,0,1,None,CarrDe02,9,8,0
14,Jalen Hurts,25,PHI,QB,17,17,352,538,65.4,3858,23,4.3,15,2.8,185,46.7,63.0,7.2,6.77,11.0,226.9,89.1,60.9,36,222,6.27,6.33,5.96,3,4,PB,HurtJa00,11,6,0
15,Lamar Jackson,26,BAL,QB,16,16,307,457,67.2,3678,24,5.3,7,1.5,167,48.2,80.0,8.0,8.41,12.0,229.9,102.7,65.4,37,218,7.49,7.0,7.34,1,0,PBAP-1AP MVP-1AP OPoY-4AP CPoY-9,JackLa00,13,3,0
16,Geno Smith,33,SEA,QB,15,15,323,499,64.7,3624,20,4.0,9,1.8,169,47.2,73.0,7.3,7.25,11.2,241.6,92.1,60.3,31,231,5.85,6.4,6.39,4,5,PB,SmitGe00,8,7,0
17,Gardner Minshew II,27,IND,QB,17,13,305,490,62.2,3305,15,3.1,9,1.8,147,41.2,75.0,6.7,6.53,10.8,194.4,84.6,60.4,34,187,6.49,5.95,5.75,2,2,PB,MinsGa00,7,6,0
18,Justin Herbert,25,LAC,QB,13,13,297,456,65.1,3134,20,4.4,7,1.5,150,46.2,60.0,6.9,7.06,10.6,241.1,93.2,64.8,29,233,5.98,5.98,6.16,1,1,None,HerbJu00,5,8,0
19,Russell Wilson,35,DEN,QB,15,15,297,447,66.4,3070,26,5.8,8,1.8,135,43.3,60.0,6.9,7.23,10.3,204.7,98.0,51.5,45,258,9.15,5.72,6.04,4,4,None,WilsRu00,7,8,0
20,Bryce Young,22,CAR,QB,16,16,315,527,59.8,2877,11,2.1,10,1.9,133,36.5,48.0,5.5,5.02,9.1,179.8,73.7,34.1,62,477,10.53,4.07,3.68,2,2,None,YounBr01,2,14,0
